,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
664989,1987,4,10,22,4,1987-10-22,DL,19790,DL,,16,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10397,1039702,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,630,630,0,0,0,0,0600-0659,,,,,923,918,-5,0,0,-1,0900-0959,0,,0,113,108,,1,731,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457838,1987,4,10,28,3,1987-10-28,AA,19805,AA,,592,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,1722,1720,-2,0,0,-1,1700-1759,,,,,1847,1858,11,11,0,0,1800-1859,0,,0,85,98,,1,460,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996685,1987,4,12,18,5,1987-12-18,TW,20211,TW,,531,10821,1082102,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,15016,1501601,31123,STL,"St. Louis, MO",MO,29,Missouri,64,645,701,16,16,1,1,0600-0659,,,,,759,822,23,23,1,1,0700-0759,0,,0,134,141,,1,737,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229458,1987,4,10,28,3,1987-10-28,AS,19930,AS,,747,10800,1080001,32575,BUR,"Burbank, CA",CA,6,California,91,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,1200,1245,45,45,1,3,1200-1259,,,,,1310,1422,72,72,1,4,1300-1359,0,,0,70,97,,1,326,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262555,1987,4,12,11,5,1987-12-11,DL,19790,DL,,941,12264,1226401,30852,IAD,"Washington, DC",VA,51,Virginia,38,10397,1039702,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,930,930,0,0,0,0,0900-0959,,,,,1110,1111,1,1,0,0,1100-1159,0,,0,100,101,,1,533,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225221,1987,4,12,18,5,1987-12-18,AA,19805,AA,,394,14747,1474702,30559,SEA,"Seattle, WA",WA,53,Washington,93,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,700,0,0,0,0,0700-0759,,,,,1242,1241,-1,0,0,-1,1200-1259,0,,0,222,221,,1,1721,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688821,1987,4,12,26,6,1987-12-26,AA,19805,AA,,473,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,2147,2223,36,36,1,2,2100-2159,,,,,2235,2307,32,32,1,2,2200-2259,0,,0,108,104,,1,569,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484509,1987,4,11,16,1,1987-11-16,DL,19790,DL,,133,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,10397,1039702,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,855,855,0,0,0,0,0800-0859,,,,,1050,1112,22,22,1,1,1000-1059,0,,0,115,137,,1,665,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313513,1988,1,2,27,6,1988-02-27,UA,19977,UA,,873,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1325,1322,-3,0,0,-1,1300-1359,,,,,1433,1424,-9,0,0,-1,1400-1459,0,,0,128,122,,1,678,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761547,1988,4,10,21,5,1988-10-21,NW,19386,NW,,417,10693,1069301,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,1825,1825,0,0,0,0,1800-1859,,,,,1922,1922,0,0,0,0,1900-1959,0,,0,57,57,,1,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
